DATE,PRCP,TMAX,TMIN
2017-04-24,0,20.5,6.7999999999999998
2017-05-01,20,17.899999999999999,8.1999999999999993
2017-05-04,4,20.5,9.6999999999999993
2017-06-05,10,26.199999999999999,15.1
2017-06-08,0,25.399999999999999,12.1
2017-06-17,0,29.300000000000001,17.199999999999999
2017-06-26,0,34.100000000000001,17.899999999999999
2017-07-14,0,28.800000000000001,18.100000000000001
2017-07-26,0,27.300000000000001,17.399999999999999
2017-08-04,0,33.799999999999997,22
2017-08-16,0,31.5,18.100000000000001
2017-08-20,0,27.600000000000001,15.199999999999999
2017-08-25,0,29.699999999999999,17.100000000000001
2017-09-01,0,28.899999999999999,20.800000000000001
2017-09-05,0,26.899999999999999,13.800000000000001
2017-09-25,36,24.100000000000001,13.5
2017-10-10,0,23.5,12.300000000000001
2017-11-06,65,15,8
2017-12-05,0,15.199999999999999,2.2000000000000002
2017-12-12,93,13.1,10.4
2017-01-12,32,15.199999999999999,4.5999999999999996
2017-02-06,0,14.199999999999999,7.9000000000000004
2017-02-19,0,15.5,3.2999999999999998
2017-03-02,0,16.199999999999999,7.2000000000000002
2017-03-23,0,19.199999999999999,7.9000000000000004
2017-04-03,0,18.300000000000001,9.5
2017-04-05,0,20,7.7999999999999998
2017-05-08,0,20.600000000000001,8.0999999999999996
2017-05-10,0,22.199999999999999,11.699999999999999
2017-05-18,0,24.800000000000001,12.4
2017-05-27,0,25.899999999999999,14.6
2017-06-12,0,27.399999999999999,16.5
2017-07-07,0,31.199999999999999,18
2017-07-15,0,29,18.899999999999999
2017-07-21,0,31.699999999999999,19.899999999999999
2017-07-24,0,28.800000000000001,23
2017-08-08,0,31.100000000000001,18.199999999999999
2017-09-20,0,22.199999999999999,9.5999999999999996
2017-09-21,0,23.199999999999999,10.699999999999999
2017-09-27,0,23.800000000000001,13
2017-11-20,0,18.800000000000001,5.2999999999999998
2017-11-23,0,18.600000000000001,5.5999999999999996
2017-12-07,2,16.100000000000001,4.0999999999999996
2017-12-26,154,13.300000000000001,8.6999999999999993
2017-12-27,181,13.4,8.5
2017-01-28,2,15,10.800000000000001
2017-02-11,0,15.300000000000001,4
2017-02-22,0,17.100000000000001,6.5999999999999996
2017-03-16,0,17.5,4.5999999999999996
2017-04-06,0,17.899999999999999,7.5999999999999996
2017-04-13,0,19.800000000000001,9.9000000000000004
2017-04-14,0,20.199999999999999,9.4000000000000004
2017-05-02,0,20.300000000000001,7
2017-05-15,0,22,10.300000000000001
2017-05-19,0,25.899999999999999,14.800000000000001
2017-05-21,0,22.199999999999999,9.3000000000000007
2017-06-13,0,28.399999999999999,17
2017-06-28,203,32.899999999999999,22.300000000000001
2017-08-06,0,34.600000000000001,19.300000000000001
2017-08-14,0,30.399999999999999,15.1
2017-08-19,0,29,18.800000000000001
2017-08-24,0,29.5,16.5
2017-09-04,0,27.300000000000001,14.6
2017-09-19,4,20.800000000000001,12.800000000000001
2017-10-17,2,22.899999999999999,10.1
2017-10-22,0,22.399999999999999,16.199999999999999
2017-10-31,0,22,10.5
2017-11-15,4,18.399999999999999,8.5999999999999996
2017-11-21,0,18.199999999999999,9.9000000000000004
2017-12-15,214,12.1,10.5
2017-01-08,0,14.300000000000001,4.7000000000000002
2017-01-31,2,15.5,9.3000000000000007
2017-02-09,2,13.5,7.9000000000000004
2017-02-10,0,15.300000000000001,4.5999999999999996
2017-02-28,10,17.100000000000001,7.2999999999999998
2017-03-01,2,15.6,7.2999999999999998
2017-04-15,0,20.300000000000001,9
2017-04-22,0,18.100000000000001,4.2000000000000002
2017-05-09,0,19.699999999999999,9
2017-05-13,0,21.600000000000001,10.800000000000001
2017-05-20,0,21.100000000000001,10
2017-05-22,0,24.300000000000001,10.6
2017-06-27,0,30,22.300000000000001
2017-07-10,0,31.199999999999999,19.600000000000001
2017-07-25,0,27,18.600000000000001
2017-08-21,0,28.300000000000001,16.100000000000001
2017-08-28,0,33.700000000000003,18.100000000000001
2017-09-03,0,24.300000000000001,14.6
2017-09-06,0,27.399999999999999,16.300000000000001
2017-09-07,0,25.899999999999999,16.5
2017-09-11,4,24.399999999999999,17
2017-09-30,6,23.699999999999999,13.300000000000001
2017-10-04,0,24.800000000000001,13.699999999999999
2017-10-11,0,23,12.199999999999999
2017-11-08,8,16.300000000000001,8.9000000000000004
2017-11-17,0,17.800000000000001,6.2999999999999998
2017-12-29,8,13.5,0.29999999999999999
2017-01-10,4,13.699999999999999,3.7999999999999998
2017-02-17,8,16.399999999999999,4.7999999999999998
2017-02-25,0,15.800000000000001,5.7999999999999998
2017-02-27,2,16.300000000000001,3.3999999999999999
2017-03-12,0,16.800000000000001,4.2000000000000002
2017-03-26,0,17.5,4.4000000000000004
2017-04-02,4,17.100000000000001,7.7000000000000002
2017-04-12,0,19.899999999999999,11.6
2017-05-17,0,23.800000000000001,12.9
2017-05-24,0,23.399999999999999,11
2017-06-11,0,29.199999999999999,14.6
2017-06-20,0,30.699999999999999,16.899999999999999
2017-07-11,0,32.5,19.399999999999999
2017-07-12,0,30.600000000000001,19.100000000000001
2017-08-17,0,29.5,19.899999999999999
2017-09-09,160,27.5,17
2017-09-16,2,23.100000000000001,14.9
2017-10-18,0,23.300000000000001,9.8000000000000007
2017-01-06,0,10.1,-1.8
2017-01-14,22,11.5,2.2000000000000002
2017-01-26,0,14.699999999999999,6.2000000000000002
2017-02-18,6,16.300000000000001,9.1999999999999993
2017-03-07,0,15.6,10.9
2017-03-20,0,17.399999999999999,7.9000000000000004
2017-03-21,0,18.399999999999999,12.199999999999999
2017-03-22,0,17.600000000000001,10.199999999999999
2017-03-31,0,18.5,5.5
2017-04-04,0,19.100000000000001,8.3000000000000007
2017-04-20,0,17.699999999999999,4.7999999999999998
2017-04-28,0,16.600000000000001,10.1
2017-05-06,6,23.399999999999999,12.9
2017-05-23,0,23.399999999999999,10.9
2017-05-28,0,25.699999999999999,14.4
2017-08-02,0,37.799999999999997,22.899999999999999
2017-08-05,0,30.699999999999999,21.100000000000001
2017-09-08,0,25.899999999999999,15
2017-09-13,0,24.199999999999999,12.800000000000001
2017-10-30,0,21.300000000000001,9.6999999999999993
2017-11-12,53,19.600000000000001,8.9000000000000004
2017-11-14,0,15.300000000000001,3.7000000000000002
2017-12-06,0,14.9,4.5999999999999996
2017-12-18,0,13.199999999999999,0
2017-02-16,0,15.9,4.7000000000000002
2017-03-10,0,17.800000000000001,6
2017-03-25,111,22.100000000000001,11
2017-04-26,0,22.100000000000001,11.5
2017-08-18,0,29.600000000000001,18.100000000000001
2017-08-23,0,28.699999999999999,17.5
2017-08-26,0,29.699999999999999,17.300000000000001
